Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
7-Jan-26,26783.3,26828.95,26702.8,26781.8,5.10E+08,39517.86
8-Jan-26,26748.95,26772.5,26439.7,26462.6,5.46E+08,39270.72
9-Jan-26,26422.8,26536.45,26187,26252.95,5.52E+08,38513.18
12-Jan-26,26244.65,26380.5,26020.45,26357.4,4.79E+08,34689.24
13-Jan-26,26462.05,26462.75,26150.55,26296.75,5.08E+08,40463.21
14-Jan-26,26220.4,26373.2,26196.05,26256.3,6.51E+08,41935.5
16-Jan-26,26287.4,26468.7,26248.45,26285.3,7.05E+08,50187.33
19-Jan-26,26245.95,26246.1,26104.95,26181.95,7.39E+08,44887.81
20-Jan-26,26174.3,26182.3,25719.25,25780.95,7.32E+08,46176.16
21-Jan-26,25687.3,25848.65,25443.85,25701.4,6.68E+08,44324.62
22-Jan-26,25890.3,26008.4,25739.6,25860.25,7.02E+08,45599.34
23-Jan-26,25921.8,25922.9,25541.65,25570.5,7.07E+08,46864
27-Jan-26,25610.35,25778.05,25452.1,25706.15,9.38E+08,67098.67
28-Jan-26,25790.7,25963.25,25766.55,25943.8,8.87E+08,59177.24
29-Jan-26,25951.65,26053.9,25765.9,26021.7,1.01E+09,64718.62
30-Jan-26,25858.7,25950.2,25785.7,25902,9.01E+08,60922.11
1-Feb-26,25894.25,26013,25105.35,25385.85,7.52E+08,42940.29
2-Feb-26,25366.85,25677.05,25212.4,25655.35,7.64E+08,48943.87
3-Feb-26,26849.75,26893.85,26216.5,26313.2,1.06E+09,71252.91
4-Feb-26,26270.8,26419.9,26129.25,26382.7,7.66E+08,52887.58
5-Feb-26,26351.75,26354.05,26182.8,26248.3,5.97E+08,42025.09
6-Feb-26,26204.25,26309.25,26069.5,26297.3,6.33E+08,42268.69
9-Feb-26,26487.75,26508.15,26380.4,26487.8,5.97E+08,39360.85
10-Feb-26,26548.4,26601.05,26488.7,26552.1,7.00E+08,41985.29
11-Feb-26,26619.1,26626.15,26524.35,26592.3,5.67E+08,40912.13
12-Feb-26,26552.25,26552.25,26381.9,26448.05,6.29E+08,48849.74
13-Feb-26,26212.25,26252.8,26063.75,26092.4,6.71E+08,50959.89
16-Feb-26,26034.7,26331.3,25981.45,26315.35,4.80E+08,29576.3
17-Feb-26,26273.1,26406.15,26214,26375.1,5.74E+08,35346.1
18-Feb-26,26404.4,26495.2,26302.2,26484.6,5.87E+08,29845.61
19-Feb-26,26533.65,26542.7,26022.7,26090.7,5.08E+08,31868.43
20-Feb-26,26042.6,26307.4,26017.5,26217.3,5.19E+08,34983.06
23-Feb-26,26333.4,26425.25,26249.15,26355.4,5.89E+08,35622.88
24-Feb-26,26280.45,26280.45,25988,26112.2,6.52E+08,47025
25-Feb-26,26204.15,26347.35,26131.45,26200.5,6.87E+08,42240.53
26-Feb-26,26272.1,26290.35,26113.25,26226.85,6.38E+08,44068.95
27-Feb-26,26195.55,26211.45,25861.85,25897.55,6.82E+08,50881.99
2-Mar-26,25308.3,25699.55,25288.75,25563.5,8.21E+08,54110.22
4-Mar-26,25087.1,25239.2,24961.15,25118.25,9.36E+08,62456.94
5-Mar-26,25253.1,25505.1,25175.2,25420.1,7.83E+08,54292.57
6-Mar-26,25316.2,25375.2,25101.7,25134.9,6.85E+08,49880.56
9-Mar-26,24556.75,24733.15,24338.75,24685.65,8.24E+08,52871.6
10-Mar-26,24955.6,25001.95,24753.05,24957.8,7.02E+08,48341.77
11-Mar-26,24941.6,25020.5,24538.8,24574.55,6.40E+08,43289.21
12-Mar-26,24386.55,24564.7,24235.7,24375.1,8.62E+08,55419
13-Mar-26,24205.75,24237,23810.8,23849.25,8.06E+08,54045.83
16-Mar-26,23814.95,24155.85,23608.95,24055.4,9.03E+08,57903.45
17-Mar-26,24143.8,24310.7,23992.7,24237.8,7.09E+08,44314.85
18-Mar-26,24293.2,24529.6,24283.65,24446.45,6.24E+08,39426.59
19-Mar-26,23890.1,24043.4,23575.15,23651.95,7.70E+08,51016.73
20-Mar-26,23773.25,24021.75,23725.05,23766.1,1.01E+09,63885.52
23-Mar-26,23478.8,23504.2,23054.3,23098.25,8.69E+08,54201.88
24-Mar-26,23489.5,23654.75,23192.55,23499.3,8.73E+08,56000.73
25-Mar-26,23672.5,24072.6,23672.05,23915.15,8.19E+08,53721.26
27-Mar-26,23782.95,23792.85,23385.25,23400.05,1.06E+09,65978.88
30-Mar-26,23114.15,23289.5,22829.95,22875.5,1.11E+09,70979.99
1-Apr-26,23472.25,23528,23206,23272.75,8.86E+08,58796.46
2-Apr-26,22971.05,23370.5,22720.45,23304.2,8.62E+08,53817
6-Apr-26,23376.9,23609.25,23159.75,23579.45,8.55E+08,52203.36
7-Apr-26,23453.2,23757.35,23326,23730.25,7.53E+08,50785.17
,,,,,,
,,,,,,
,,,,,,
